SL_NO,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,PROXIMITY,LIGHT,TIME,CONTEXT
1,-0.30105,4.18695,8.698951,-0.007425,-0.1170125,0.2861375,0,0,0,0,0,11:19:13.765885,unlabelled
2,-0.837,4.053,8.967,-0.007425,-0.1170125,0.2861375,23.325,-36.787502,9.262501,0,0,11:19:14.482265,unlabelled
3,-0.97095007,4.0339503,8.986051,-0.007425,-0.1381875,0.2893,23.306252,-36.693752,9.5625,0,0,11:19:14.695137,unlabelled
4,-1.12395,4.0339503,8.986051,-0.007425,-0.1381875,0.2893,23.34375,-36.5625,9.993751,0,0,11:19:14.758088,unlabelled
5,-1.12395,4.0150504,9.139951,-0.121275,-0.2288,0.30855,23.362501,-36.525,10.05,0,0,11:19:14.777751,unlabelled
6,-1.27695,4.07205,9.274051,-0.158125,-0.2288,0.3113,23.4375,-36.43125,10.1625,0,0,11:19:14.899634,unlabelled
7,-1.4500501,4.07205,9.274051,-0.3158375,-0.3202375,0.36355,23.456251,-36.393753,10.21875,0,0,11:19:15.813162,unlabelled
8,-1.4500501,4.07205,9.274051,-0.604175,-0.42061248,0.4063125,23.475,-36.3375,10.33125,0,0,11:19:16.718516,unlabelled
9,-1.4500501,4.07205,9.274051,-0.604175,-0.4390375,0.4063125,23.56875,-36.15,10.5375,0,0,11:19:17.407555,unlabelled
10,-1.4500501,4.07205,9.274051,-0.7393375,-0.44935,0.448525,23.625,-36.05625,10.762501,0,0,11:19:17.544470,unlabelled
11,-1.5649501,4.0150504,9.121051,-0.8053375,-0.4324375,0.466125,23.6625,-36.037502,10.89375,0,0,11:19:18.504369,unlabelled
12,-1.62195,4.0150504,9.121051,-0.819225,-0.398475,0.473,23.7,-35.8875,11.0625,0,0,11:19:18.739903,unlabelled
13,-1.641,3.9379501,8.94795,-0.6782875,-0.35915,0.412225,23.7,-35.8875,11.0625,0,0,11:19:19.079868,unlabelled
14,-1.641,3.9190502,8.776051,-0.4679125,-0.2006125,0.274725,23.7,-35.8875,11.0625,0,0,11:19:19.698010,unlabelled
15,-1.7179501,3.72795,8.776051,-0.4679125,-0.2006125,0.274725,23.75625,-35.79375,11.325001,0,0,11:19:21.035497,unlabelled
16,-1.7179501,3.72795,8.60295,-0.3768875,-0.2006125,0.274725,23.831251,-35.68125,11.493751,0,0,11:19:21.553632,unlabelled
17,-1.7179501,3.72795,8.60295,-0.3768875,-0.2006125,0.274725,23.868752,-35.550003,11.606251,0,0,11:19:22.358831,INDOOR
18,-1.7179501,3.72795,8.60295,-0.3768875,-0.2006125,0.274725,23.8875,-35.4375,11.90625,0,0,11:19:24.006856,INDOOR
19,-1.8709501,3.72795,8.60295,-0.3768875,-0.2006125,0.274725,23.925001,-35.34375,12.1125,0,0,11:19:24.291216,INDOOR
20,-1.8709501,3.72795,8.60295,-0.3768875,-0.2006125,0.274725,24.0,-35.2125,12.281251,0,0,11:19:25.439431,INDOOR
21,-1.8709501,3.7080002,8.508,-0.3768875,-0.2006125,0.274725,24.0375,-35.15625,12.375001,0,0,11:19:26.906675,INDOOR
22,-2.06205,3.7080002,8.508,-0.3768875,-0.2006125,0.274725,24.018751,-35.11875,12.525001,0,0,11:19:27.278036,INDOOR
23,-2.06205,3.72795,8.508,-0.3768875,-0.2006125,0.274725,24.018751,-35.100002,12.562501,0,0,11:19:27.458185,INDOOR
24,-2.2350001,3.7080002,8.508,-0.3768875,-0.2006125,0.274725,24.018751,-35.11875,12.525001,0,0,11:19:27.466990,INDOOR
25,-2.331,3.7080002,8.488951,-0.3768875,-0.2006125,0.274725,24.075,-35.11875,12.450001,0,0,11:19:27.620024,INDOOR
26,-2.331,3.6130502,8.54595,-0.3768875,-0.127875,0.274725,24.075,-35.1375,12.4125,0,0,11:19:27.628284,OUTDOOR
27,-2.42595,3.5170503,8.54595,-0.3768875,-0.127875,0.274725,24.075,-35.100002,12.39375,0,0,11:19:27.690580,OUTDOOR
28,-2.50305,3.4020002,8.60295,-0.276375,-0.127875,0.243375,24.056252,-35.100002,12.356251,0,0,11:19:27.776952,OUTDOOR
29,-2.52195,3.4020002,8.54595,-0.276375,-0.127875,0.243375,24.056252,-35.11875,12.3,0,0,11:19:27.846381,OUTDOOR
30,-2.637,3.38295,8.776051,-0.276375,-0.0044,0.209825,24.075,-35.11875,12.225,0,0,11:19:27.906274,OUTDOOR
31,-2.80905,3.4020002,9.02505,-0.1615625,-0.0044,0.209825,24.075,-35.11875,12.093751,0,0,11:19:27.934577,OUTDOOR
32,-2.80905,3.4399502,9.02505,-0.1615625,-0.0044,0.209825,24.056252,-35.15625,12.056251,0,0,11:19:28.009566,OUTDOOR
33,-2.9629502,3.42105,9.255,-0.00385,0.1876875,0.180125,24.056252,-35.175003,12.01875,0,0,11:19:28.057598,OUTDOOR
34,-3.1729503,3.42105,9.255,-0.00385,0.1876875,0.180125,24.093752,-35.193752,11.94375,0,0,11:19:28.063057,OUTDOOR
35,-3.3259501,3.42105,9.02505,0.20515,0.307725,0.001375,24.13125,-35.2125,11.85,0,0,11:19:28.136902,OUTDOOR
36,-3.3259501,3.3450003,8.776051,0.20515,0.307725,0.001375,24.16875,-35.23125,11.75625,0,0,11:19:28.176495,OUTDOOR
37,-3.4990501,3.3640501,8.52705,0.3488375,0.4367,0.0011,24.16875,-35.23125,11.700001,0,0,11:19:28.227080,OUTDOOR
38,-3.594,3.3640501,8.52705,0.3488375,0.4367,0.0011,24.16875,-35.268753,11.606251,0,0,11:19:28.245515,OUTDOOR
39,-3.594,3.4020002,8.316,0.4906,0.6529875,8.25E-4,24.150002,-35.287502,11.512501,0,0,11:19:28.272968,OUTDOOR
40,-3.69,3.4020002,8.29695,0.4906,0.6529875,8.25E-4,24.16875,-35.34375,11.418751,0,0,11:19:28.306839,OUTDOOR
41,-3.69,3.5170503,8.39295,0.75405,0.6873625,1.375E-4,24.187502,-35.381252,11.38125,0,0,11:19:28.356391,OUTDOOR
42,-3.42195,4.18695,8.54595,0.75405,0.6873625,1.375E-4,24.206251,-35.381252,11.306251,0,0,11:19:28.385799,OUTDOOR
43,-3.46005,4.18695,8.54595,0.75405,0.695475,-2.75E-4,24.206251,-35.4,11.25,0,0,11:19:28.531193,OUTDOOR
44,-3.2689502,2.7889502,8.125051,0.8729875,0.6796625,-6.875E-4,24.206251,-35.4375,11.25,0,0,11:19:28.536452,OUTDOOR
45,-3.2689502,2.7889502,8.125051,0.8729875,0.6796625,-6.875E-4,24.206251,-35.475002,11.26875,0,0,11:19:28.541172,OUTDOOR
46,-3.2689502,2.7889502,8.44995,1.090375,0.58245,-9.625E-4,24.187502,-35.475002,11.26875,0,0,11:19:28.544716,OUTDOOR
47,-3.21105,3.4399502,8.29695,1.090375,0.58245,-9.625E-4,24.206251,-35.49375,11.19375,0,0,11:19:28.554603,OUTDOOR
48,-3.3259501,3.4399502,8.29695,1.1556875,0.58245,-0.151525,24.187502,-35.5125,11.175,0,0,11:19:28.682505,OUTDOOR
49,-3.3649502,2.2720501,8.316,1.2203125,0.3933875,-0.19745,24.150002,-35.53125,11.15625,0,0,11:19:28.689598,OUTDOOR
50,-3.3649502,2.2720501,8.316,1.2203125,0.3933875,-0.19745,24.093752,-35.550003,11.1,0,0,11:19:28.697083,OUTDOOR
51,-3.21105,2.7510002,8.01,1.2203125,0.3933875,-0.19745,24.075,-35.60625,11.08125,0,0,11:19:29.056033,OUTDOOR
52,-3.4030502,2.808,8.23995,1.2203125,0.3933875,-0.2355375,24.056252,-35.625,11.08125,0,0,11:19:30.479889,OUTDOOR
53,-3.4800003,2.8470001,8.029051,1.2852125,0.2171125,-0.26427498,24.056252,-35.643753,11.043751,0,0,11:19:32.408786,INDOOR
54,-3.3259501,2.6550002,8.163,1.32385,0.1563375,-0.292875,24.056252,-35.662502,11.043751,0,0,11:19:32.789182,INDOOR
55,-3.46005,2.36805,8.22105,1.32385,0.11715,-0.3012625,24.0375,-35.7,11.025001,0,0,11:19:33.027921,INDOOR
56,-3.46005,2.36805,8.22105,1.3211,0.11715,-0.3012625,23.98125,-35.737503,10.96875,0,0,11:19:33.263018,INDOOR
57,-3.6520503,2.36805,8.23995,1.330175,0.1232,-0.3025,23.94375,-35.756252,10.9125,0,0,11:19:34.179497,INDOOR
58,-3.6520503,2.2720501,8.23995,1.330175,0.1232,-0.301675,23.90625,-35.831253,10.9125,0,0,11:19:34.645491,INDOOR
59,-3.8239503,2.1769502,8.29695,1.330175,0.1232,-0.301675,23.868752,-35.8875,10.9125,0,0,11:19:35.047996,INDOOR
60,-4.0729504,2.06205,8.565001,1.3283875,0.1232,-0.301675,23.85,-35.925003,10.837501,0,0,11:19:36.067282,INDOOR
61,-4.0729504,2.06205,8.565001,1.3283875,0.1232,-0.301675,23.79375,-35.98125,10.8,0,323.04218,11:19:37.106609,INDOOR
62,-4.4370003,2.08095,8.910001,1.3283875,0.144375,-0.301675,23.737501,-36.037502,10.837501,0,323.04218,11:19:37.136651,INDOOR
63,-4.782,2.04195,8.910001,1.3283875,0.144375,-0.29755,23.7,-36.09375,10.856251,0,323.04218,11:19:37.229527,INDOOR
64,-5.0880003,2.04195,9.08205,1.3094125,0.1637625,-0.29755,23.681252,-36.112503,10.875,0,323.04218,11:19:37.376179,INDOOR
65,-5.0880003,2.02305,9.292951,1.3094125,0.1637625,-0.29755,23.681252,-36.131252,10.837501,0,405.8735,11:19:38.790159,INDOOR
66,-5.0880003,2.02305,9.292951,1.3094125,0.1637625,-0.29755,23.625,-36.16875,10.837501,0,405.8735,11:19:38.810777,INDOOR
67,-5.0880003,2.02305,9.292951,1.3094125,0.1637625,-0.29755,23.56875,-36.206253,10.837501,0,405.8735,11:19:38.987762,INDOOR
68,-5.3179502,2.02305,9.292951,1.3094125,0.1637625,-0.29755,23.5125,-36.2625,10.762501,0,405.8735,11:19:39.948847,INDOOR
69,-5.682,2.1769502,9.52305,1.3094125,0.1637625,-0.29755,23.5125,-36.3375,10.6125,0,405.8735,11:19:40.447911,INDOOR
70,-5.682,2.42505,9.59895,1.3094125,0.1637625,-0.29755,23.5125,-36.43125,10.21875,0,405.8735,11:19:42.579415,INDOOR
71,-5.682,2.42505,9.59895,1.3094125,0.1637625,-0.29755,23.493752,-36.581253,9.50625,0,405.8735,11:19:42.892042,INDOOR
72,-5.9110503,2.42505,9.59895,1.3112,0.1637625,-0.28215,23.41875,-36.768753,8.793751,0,405.8735,11:19:43.600892,INDOOR
73,-6.0070505,2.42505,9.73305,1.3145,0.1354375,-0.2715625,23.38125,-36.975002,8.325001,0,405.8735,11:19:43.628916,INDOOR
74,-6.52395,2.904,9.54195,1.3145,0.1354375,-0.2619375,23.25,-37.0875,7.55625,0,405.8735,11:19:44.482536,INDOOR
75,-6.294,4.51305,9.349951,1.3371875,0.0881375,-0.258775,23.212502,-37.162502,7.2562504,0,405.8735,11:19:45.383488,INDOOR
